,Address,Name,PriceLevel,Rating,Reviews,lat,lng,placeId
17,,The Lucky Creation Vegetarian Restaurant,1.0,4.3,280,37.795132,-122.4074143,ChIJQdwWVPOAhYAR6ZL-cDxRC5s
18,,COI,4.0,4.5,207,37.7980647,-122.4034273,ChIJtTiYCPWAhYARSG5vCAkeT0Y
19,,Spicy King,2.0,4.1,406,37.7940748,-122.4069736,ChIJjfQjX4uAhYARqZnA2Bg758w
20,"649 Jackson St, San Francisco",Great Eastern Restaurant,2.0,3.9,1030,37.7960392,-122.4059405,ChIJPe15ufSAhYARf6hhhS-Kq7w
21,"925 Kearny St, San Francisco",House Of Xian Dumpling,1.0,3.9,292,37.796532,-122.405408,ChIJHZKUwfSAhYARbTxrs8Pa7_k
22,"823 Clay St, San Francisco",Chef Hung's,1.0,4.0,262,37.7940818,-122.4066911,ChIJOWwMXIuAhYARf4GWzDasYno
23,"648 Pacific Ave, San Francisco",Yin Du Wonton Noodle,1.0,4.1,183,37.7970477,-122.4064596,ChIJY5BXhfSAhYARTDkytTaTdts
24,"1 Pagoda Pl, San Francisco",Hang Ah Dim Sum Tea House,1.0,4.1,909,37.793377,-122.4074816,ChIJB6z5nIyAhYAR8dqLyVz2N1E
25,"1131 Grant Ave, San Francisco",Yee's Restaurant,1.0,3.7,277,37.7972621,-122.407124,ChIJQ8ltgPSAhYAR7MLcpoA-6vM
26,"728 Washington St, San Francisco",Penang Garden Restaurant,2.0,3.9,140,37.7955243,-122.4055886,ChIJGwAYNYuAhYARHRrGrXHXa1Q
27,"815 Stockton St, San Francisco",New Fortune Restaurant,,4.6,56,37.7933626,-122.4079954,ChIJrZVRloyAhYARfQOLtCdWLrQ
28,"733 Washington St, San Francisco",Washington Bakery & Restaurant,1.0,3.6,154,37.795119,-122.406091,ChIJX-6GTIuAhYAR-6AUKml2Lv0
29,"638 Pacific Ave, San Francisco",New Regent Cafe,1.0,3.8,45,37.7970507,-122.4063306,ChIJaaiLj_SAhYARlpIdBl7YIjA
30,"915 Kearny St, San Francisco",Chong Qing Xiao Mian,1.0,4.2,530,37.7964313,-122.4053621,ChIJ51REwfSAhYARvoU7sm7LGps
31,"930 Stockton St, San Francisco",Yummy Dim Sum & Fast Food,,3.8,36,37.7944856,-122.407807,ChIJI-dnsoyAhYARuYITuCr9PnE
32,"808 Pacific Ave, San Francisco",Dol Ho Restaurant,1.0,4.1,155,37.7969343,-122.408835,ChIJm3r2CfOAhYARUAo-oZN3NlI
33,"742 Washington St, San Francisco",Nam Yuen Restaurant,,5.0,1,37.7953019,-122.4058351,ChIJAYI7S4uAhYARAyuTl0Zd4EE
34,"652 Pacific Ave, San Francisco",New Hollywood,1.0,4.0,30,37.7970332,-122.4065031,ChIJEbsahfSAhYARui0uvRYuYno
35,"1125 Stockton St, San Francisco",Wing Sing Dim Sum,1.0,3.9,77,37.7961705,-122.4086393,ChIJaw4mbfOAhYARdyo5E2MKr6g
36,"615 Jackson St, San Francisco",Begoni Bistro,2.0,4.2,422,37.795996,-122.405546,ChIJayBxyPSAhYARj12TiMzIRZ4
37,"834 Washington St, San Francisco",Kam Lok Restaurant,1.0,3.8,67,37.7951558,-122.4070917,ChIJv5ZwqvSAhYARgv-gU-_HB_s
38,"699 Jackson St, San Francisco",New Woey Loy Goey Restaurant,1.0,4.0,189,37.7959393,-122.4064993,ChIJ_0OEpPSAhYARmd_vGxWFN68
39,"737 Washington St, San Francisco",Grant Place Restaurant,2.0,3.5,209,37.795097,-122.406202,ChIJ57r_TIuAhYARy1oFoGjnPOA
40,"640 Jackson St, San Francisco",Bund Shanghai Restaurant,2.0,4.2,316,37.7962641,-122.4059597,ChIJGxw1ufSAhYAR81kF8mk9Nao
41,"818 Washington St, San Francisco",Imperial Palace,2.0,3.4,308,37.7951833,-122.4068959,ChIJJQOoq_SAhYARgYmc8DStm0Y
42,"760 Clay St, San Francisco",Oriental Pearl Restaurant,2.0,4.2,366,37.7944578,-122.4058251,ChIJ4yF-P4uAhYARaguPywvhqFo
43,"735 Jackson St, San Francisco",House of Dim Sum,1.0,3.8,119,37.7958721,-122.4072429,ChIJG94CX_OAhYAR5CiHP4D_mP0
44,"217 Columbus Ave, San Francisco",Brandy Ho's Hunan Food,2.0,4.2,264,37.7972398,-122.406004,ChIJ198mjPSAhYAR6g_G4vb9ksE
45,"667 Jackson St, San Francisco",Golden Flower Restaurant,1.0,4.2,177,37.7959888,-122.4062978,ChIJjflGu_SAhYARiuYBeY-YxU0
46,"139 Waverly Pl, San Francisco",Utopia Cafe,1.0,4.0,79,37.794714,-122.4071189,ChIJ5x7mVYuAhYARBR7To58dYOc
47,"710 Commercial St, San Francisco",Slurp Ramen,2.0,4.3,255,37.7941017,-122.405088,ChIJS9UsF4uAhYARtshptqMdvzg
48,"662 Commercial St, San Francisco",City View Restaurant,2.0,4.4,650,37.7941603,-122.4041233,ChIJHT3R4oqAhYARLvyjGU7q9Y4
49,"700 Grant Ave, San Francisco",Sushi Boat Restaurant,,2.7,27,37.793493,-122.4060168,ChIJb8gFwEWBhYARvpl-ST-r6D8
50,"614 Pine St, San Francisco",Rock Japanese Cuisine,,4.0,169,37.791597,-122.406013,ChIJhZ9x64uAhYARbRPzlDg95dE
51,"11 Walter U Lum Pl, San Francisco",Golden Star Vietnamese Restaurant,1.0,4.3,550,37.7945363,-122.4058035,ChIJjdwER4uAhYAR-2of3sZ2uf8
52,"150 Waverly Pl, San Francisco",吃广式肠粉,,4.1,101,37.7948366,-122.4068215,ChIJB4lCVIuAhYARG2AcAOsc1kU
53,"779 Clay St, San Francisco",J&M A-1 Cafe Restaurant,,3.6,41,37.7941708,-122.4059607,ChIJ1_TsQYuAhYARqnea3EPg6EI
54,"757 Clay St, San Francisco",Golden King Restaurant,1.0,4.0,120,37.79426249999999,-122.4058224,ChIJkRpUQIuAhYARZoEaP_6bk9w
55,"712 Grant Ave, San Francisco",Snow Garden,,4.0,57,37.7935406,-122.4060179,ChIJr1yRbouAhYARJ_XQIuAcX6Q
56,"631 Grant Ave, San Francisco",Far East Cafe,2.0,3.7,371,37.79298800000001,-122.4063244,ChIJr8HQeYuAhYARS1fVtqqZFpU
57,"758 Pacific Ave, San Francisco",Yummy Yummy,,3.9,15,37.7970203,-122.4080591,ChIJlzVjdvOAhYARJhHiB-C4jGU
58,"1230 Grant Ave, San Francisco",The House,3.0,4.6,598,37.7984547,-122.4070904,ChIJ5TeZivOAhYARDXYf1snFeLA
59,"674 Broadway, San Francisco",Cafe Broadway,,4.0,108,37.797814,-122.408194,ChIJH9hulPOAhYARiMdOGcTKzTg
60,"1416 Powell St, San Francisco",Lai Hong Lounge,2.0,4.2,457,37.7978639,-122.4101359,ChIJV3z4M_KAhYARScz6UsuuXj0
61,"683 Broadway, San Francisco",Yummy BBQ Kitchen,,4.1,21,37.7975209,-122.4083255,ChIJScUsmPOAhYARwy3ACHWz-kU
62,"708 Vallejo St, San Francisco",Vung Tau,1.0,4.0,102,37.7986407,-122.4091581,ChIJE1h82vOAhYARsTXftkqyajw
63,"1326 Powell St, San Francisco",Happy Chinese Restaurant,1.0,3.9,34,37.79686239999999,-122.41004,ChIJgT1QUvKAhYARSLJhCYU6XOo
64,"501 Broadway, San Francisco",Little Szechuan,2.0,3.9,182,37.797788,-122.405695,ChIJE9tGXvSAhYARWcfEqUzuTQE
65,"1300 Stockton St, San Francisco",Yuet Lee,1.0,3.8,305,37.7977959,-122.408528,ChIJyXwHlvOAhYARm3NdhLfKKuU
66,"606 Broadway, San Francisco",New Sun Hong Kong Restaurant,1.0,3.3,211,37.7980108,-122.4072383,ChIJdV5niPOAhYARWmevNp-ADK4
67,"4405 675 Broadway, San Francisco",Dim Sum Bistro,1.0,4.3,181,37.797572,-122.408156,ChIJPcb-mfOAhYARpu5lxEyzfGg
68,"641 Jackson St, San Francisco",Peninsula Seafood Restaurant,1.0,3.5,148,37.7960604,-122.4058184,ChIJu1arufSAhYARYTkZE8E6oGQ
69,"1131 Stockton St, San Francisco",Little Paris,,3.6,21,37.7962007,-122.4084821,ChIJ3402bfOAhYAReI-XRySoPdY
70,"1041 Stockton St, San Francisco",New Golden Daisy,,4.3,25,37.7954933,-122.4083383,ChIJx7QpQfOAhYARMIgtw6CWcV0
71,"1045 Stockton St, San Francisco",Gourmet Delight BBQ,,3.9,7,37.795564,-122.4083563,ChIJi9X8QPOAhYARKO-1FF1XC2k
72,"648 Kearny St, San Francisco",Hon's Wun-Tun House,1.0,4.2,199,37.794278,-122.4046307,ChIJW-VIGYuAhYARDoGG1byUOcs
73,"716 Kearny St, San Francisco",The Garden Restaurant,2.0,4.1,130,37.7947867,-122.4047035,ChIJE254JIuAhYARaXWa1zg16A0
74,"601 Kearny St, San Francisco",Young's Cafe,2.0,4.0,33,37.7936534,-122.4047986,ChIJ1WUtBIuAhYARJhBE_e_2VL4
75,"621 Kearny St, San Francisco",Good Luck Cafe and Deli,1.0,4.7,34,37.7938456,-122.4048698,ChIJF_bSGouAhYARLuv5BtmPb-4
76,"744 Washington St, San Francisco",CHINATOWN RESTAURANT,,2.3,15,37.7953772,-122.4059993,ChIJAQCctPSAhYAR72MQv1h658I
77,"801 Broadway, San Francisco",Kam PO Kitchen,1.0,4.1,249,37.79720289999999,-122.4103961,ChIJB0CuTvKAhYAROMXsQgC1U6Q
78,,Muracci's Japanese Curry & Grill,1.0,4.5,486,37.791022,-122.4042351,ChIJV28NgImAhYARMynrt6fnJLY
79,,E' Tutto Qua,2.0,4.5,796,37.797753,-122.4063,ChIJ5Z4cY_SAhYART4DbGbnIZjw
80,,Sababa,2.0,4.6,240,37.7911832,-122.4042924,ChIJOfDh1IuAhYARhstXRaTod2I
81,,Betty Lou's Seafood & Grill,2.0,4.6,447,37.7983107,-122.4069712,ChIJ7XPEdfSAhYARpkyL6DlQthc
82,,Sushi Taka,1.0,4.5,94,37.793734,-122.404451,ChIJiVfJA4uAhYARrfUdzWUopIU
83,,Sabra,2.0,4.1,244,37.790927,-122.4057449,ChIJcdOp4IuAhYAR28q1k3NXY7Q
84,"826 Washington St, San Francisco",Hunan House,2.0,3.8,218,37.795191,-122.40701,ChIJ0QaAqvSAhYAR3ID2OTZi71g
85,"523 Broadway, San Francisco",Urban Curry,1.0,4.1,232,37.7978585,-122.4059565,ChIJSSkRYfSAhYARx_k1qS7edIQ
86,"700 Grant Ave, San Francisco",Floating Sushi Boat,2.0,3.1,242,37.79348890000001,-122.4060745,ChIJMQgObouAhYARG_ROpgr3NNg
87,"356 Kearny St, San Francisco",Ramen Underground,2.0,4.1,878,37.79153609999999,-122.4040583,ChIJyyQu04uAhYARXVI2yERHvEk
88,"750 Kearny St, San Francisco",750 Restaurant & Bar,2.0,3.4,11,37.7951205,-122.4044887,ChIJOzt_KIuAhYARbg4xsx6K07I
89,,Comstock Saloon,2.0,4.5,629,37.7969298,-122.4055622,ChIJ18LA7PSAhYARZCNy_dme7v8
90,,Cafe Bastille,2.0,4.4,301,37.7911616,-122.4035949,ChIJH6DFh4mAhYARtlNX-DeJX8U
91,,Ma's Dimsum & Cafe,1.0,4.2,45,37.7966805,-122.4103247,ChIJ0bn3U_KAhYAR4uiaZnKx44A
92,,Café de la Presse,2.0,4.1,884,37.790459,-122.405352,ChIJa9b_ZomAhYAR0T45skiVOcw
93,,Caffè Macaroni,2.0,4.5,189,37.7961485,-122.4044305,ChIJWcEL3fSAhYARUPPDs_pevlM
94,,The Stinking Rose,2.0,4.2,2533,37.7982126,-122.4074595,ChIJW52Si_OAhYAR-jAC1-iQh_c
95,"605 Kearny St, San Francisco",Ohana Poke Bar,,4.0,37,37.7937251,-122.4048502,ChIJ5S4GBYuAhYARHiz0F5ecVw0
